name;lat;lon
Диспетчерский пункт конечной автобусной станции «Абрамцевская ул.»;55.90772389999999;37.57454349999999
Дом 15;55.7743021;37.62603299999999
Дом Г. А. Тарасова;55.762387499999996;37.590932499999994
Дом Правительства Российской Федерации;55.7550273;37.5732785
Дом Прошина;55.7738967;37.5901993
Дом Румянцева;55.7525033;37.6434167
Дом Хлебниковой;55.7698317;37.6556078
Дом на Предтеченской;55.7602792;37.5664857
Дом немецкой экономики;55.734814;37.62238369999999
Дом предпринимателя;55.4768772;37.3021023
Дом.РФ;55.7322523;37.628648299999995
Дорожная инспекция ОАТИ;55.7387198;37.6643219
Доходный дом Солодовникова;55.7892703;37.632604699999995
Европа;55.727863000000006;37.613792499999995
Единый диспетчерский центр Московского метрополитена;55.865060400000004;37.5494391
Жилищник района Северное Тушино;55.8539584;37.4369839
Жилые палаты Хамовного двора;55.73255100000001;37.589267
"ЗАО ""Ремстройтрест""";55.6591643;37.520265099999996
Западное окружное управление образования;55.73836229999999;37.5401268
"Здание ООО ""Октод""";55.78048950000001;37.48888039999999
"Здание конечной станции ""Уссурийская""";55.821953900000004;37.8237203
ИТАР-ТАСС;55.7593158;37.6008361
Издательство Наука;55.64936900000001;37.530386699999994
Ингосстрах;55.743421;37.6270904
Инспекция ФНС России № 25;55.70581980000001;37.6643525
Инспекция налоговой службы № 17 по г. Москве;55.8046706;37.645258999999996
"Институт ""Каналстройпроект""";55.6790426;37.5722768
Институт Европы РАН;55.756676299999995;37.6101688
Институт Св. Фомы;55.7758826;37.68976750000001
Институт Спектроскопии;55.46509040000001;37.2975867
Институт географии РАН;55.7348044;37.6149202
Институт геологии рудных месторождений, петрографии, минералогии и геохимии РАН;55.737490400000006;37.6210911
Институт космических исследований Российской академии наук;55.655115699999996;37.533578799999994
Институт молекулярной биологии им. В. А. Энгельгардта;55.69864259999999;37.572037400000006
Институт нефтехимического синтеза им. А. В. Топчиева РАН;55.7141055;37.590842
Институт проблем безопасного развития атомной энергетики;55.7041241;37.6210696
Институт проблем комплексного освоения недр;55.76477409999999;37.7106636
Институт проблем экологии и эволюции им. А. Н. Северцова РАН;55.711889;37.5889203
Институт радиотехники и электроники им. В. А. Котельникова РАН;55.7561603;37.6113491
Институт русского языка РАН;55.7451956;37.6029327
Институт точной механики и вычислительной техники им. С. А. Лебедева;55.6989363;37.5662262
Институт физики атмосферы им. А.М. Обухова РАН;55.73910910000001;37.6233565
Институт энергетических проблем химической физики РАН им. В. Л. Тальрозе;55.70518569999999;37.56918619999999
Интеграл;55.71928459999999;37.4322503
Информационно-вычислительный центр МЖД;55.7774042;37.66296129999999
Информационное телеграфное агентство России «ТАСС»;55.7578901;37.5997015
КПП;55.69799009999999;37.6103234
Капитал Плаза;55.7791744;37.587146499999996
Карачарово;55.730446400000005;37.7368602
"Комплекс ""Башня на набережной""";55.7467501;37.53676239999999
Консульский отдел посольства Ирана;55.7556532;37.6490741
Корпус E;55.7362983;37.5329764
Краснодарский домик;55.7967775;37.6759875
Креди Агриколь;55.7595436;37.631992399999994
Кристалл Плаза;55.746838399999994;37.6290998
Лабораторный корпус;55.825469;37.4602899
Лидер-Групп;55.76780709999999;37.556532999999995
Лихоборское подразделение Московского УЦПК ОАО «РЖД»;55.8408808;37.5192024
Любимый носик;55.70670419999999;37.671635599999995
МИД России центральное здание;55.746177200000005;37.5844084
МОЭСК;55.8145283;37.7949938
МОЭСК - Центральные электрические сети;55.66091350000001;37.6308689
МТС;55.76697750000001;37.6187687
МФИ софт;55.728463299999994;37.5854568
МЧС России;55.759533999999995;37.6220639
