atm_id;bank;lat;lon
244;Sber;55.6358712;37.5209307
245;Alfa-Bank;55.6358534;37.5208722
246;Sber;55.655738;37.5408879
247;Sber;55.8354323;37.4904329
248;Sber;55.6776581;37.6596372
249;Sber;55.6510664;37.7412557
250;Sber;55.8170837;37.5694475
251;Sber;55.7327672;37.5360298
252;Alfa-Bank;55.7787217;37.516377
253;Alfa-Bank;55.8552556;37.3554639
254;Sber;55.8717737;37.7113923
255;Sber;55.6225253;37.6677388
256;Sber;55.6459852;37.6596778
257;Sber;55.9800247;37.1759459
258;Alfa-Bank;55.7509013;37.8207563
259;Sber;55.7509269;37.8195618
260;Sber;55.7519974;37.8128496
261;Alfa-Bank;55.7524987;37.8194342
262;Alfa-Bank;55.7545342;37.8153111
263;Sber;55.8040606;37.7604088
264;Sber;55.621397;37.7379579
265;Sber;55.6214662;37.7384921
266;Alfa-Bank;55.8627226;37.6082017
267;Alfa-Bank;55.6009661;37.6090035
268;Sber;55.7160929;37.5172034
269;Sber;55.7675925;37.5229989
270;Gazprombank;55.633505;37.6232014
271;Sber;55.7064175;37.7656076
272;Sber;55.7596661;37.6283913
273;Sber;55.7888527;37.6000701
274;Alfa-Bank;55.7932171;37.6041242
275;Alfa-Bank;55.7857296;37.6012891
276;Sber;55.7055943;37.6427696
277;Sber;55.8172997;37.6399122
278;Sber;55.6407001;37.6084558
279;Sber;55.719407;37.7326702
280;Sber;55.7799439;37.6011318
281;Sber;55.8461581;37.3585274
282;Sber;55.6257078;37.3067653
283;Sber;55.7431998;37.6706955
284;Sber;55.8063105;37.6531179
285;Sber;55.6056737;37.2875492
286;Alfa-Bank;55.6067623;37.285552
287;Sber;55.745797;37.6263273
288;Alfa-Bank;55.6188644;37.5066227
289;Sber;55.8195567;37.5783197
290;Sber;55.5464888;37.5511936
291;Sber;55.6352092;37.3431779
292;Sber;55.7640011;37.6283658
293;Sber;55.627469;37.6160666
294;Sber;55.7497047;37.7109576
295;Sber;55.8837666;37.6057869
296;Sber;55.6535503;37.6206664
297;Sber;55.6234505;37.6099748
298;Sber;55.6283243;37.6207537
299;Sber;55.8026208;37.7446834
300;Sber;55.6219655;37.6110935
301;Sber;55.6897526;37.7368854
302;Sber;55.6493898;37.7448038
303;Sber;55.6491998;37.7447434
304;Sber;55.6836947;37.6857937
305;Sber;55.8032186;37.7982604
306;Sber;55.8034509;37.8144219
307;Sber;55.7838071;37.6241624
308;Alfa-Bank;55.6945926;37.6621237
309;Sber;55.7995096;37.8042603
310;Sber;55.692812;37.6623651
311;Sber;55.7210306;37.611779
312;Sber;55.6497485;37.7298781
313;Alfa-Bank;55.7123986;37.6568096
314;Sber;55.7838127;37.6288793
315;Sber;55.7474965;37.606977
316;Alfa-Bank;55.694615;37.6620953
317;Sber;55.8679115;37.6225622
318;Sber;55.6365149;37.6558365
319;Sber;55.6529537;37.6461105
320;Alfa-Bank;55.8195675;37.5786586
321;Sber;55.8599477;37.688003
322;Sber;55.650103;37.7433227
323;Sber;55.6376958;37.65601
324;Sber;55.7215196;37.6966238
325;Sber;55.8715248;37.6374562
326;Sber;55.8700801;37.6351496
327;Sber;55.8745509;37.6464719
328;Sber;55.8557783;37.4775416
329;Sber;55.8541714;37.4762911
330;Sber;55.8555705;37.4784972
331;Sber;55.6361713;37.6810442
332;Sber;55.6366776;37.6558037
333;Sber;55.8555045;37.4764712
334;Sber;55.8555853;37.4769167
335;Sber;55.8772195;37.6513331
336;Sber;55.7500612;37.78451
337;Sber;55.7500687;37.7844892
338;Sber;55.8869289;37.6593689
339;Sber;55.5469805;37.5439145
340;Sber;55.7002268;37.5022112
341;Sber;55.7465735;37.6484519
342;Sber;55.5470627;37.5438097
343;Sber;55.6828681;37.8522897
344;Sber;55.6219591;37.6122708
345;Sber;55.5480902;37.5431111
